Path,Name,Size (Bytes),Modified Time
D:\autorun.inf,autorun.inf,128,1701675694.0
D:\bootmgr,bootmgr,442062,1701675696.0
D:\bootmgr.efi,bootmgr.efi,1675736,1701675696.0
D:\setup.exe,setup.exe,95712,1701675694.0
D:\System Volume Information\WPSettings.dat,WPSettings.dat,12,1713101350.0
D:\System Volume Information\IndexerVolumeGuid,IndexerVolumeGuid,76,1713101352.0
D:\boot\bcd,bcd,16384,1701675694.0
D:\boot\boot.sdi,boot.sdi,3170304,1701675696.0
D:\boot\bootfix.bin,bootfix.bin,1024,1701675694.0
D:\boot\bootsect.exe,bootsect.exe,107872,1701675696.0
D:\boot\etfsboot.com,etfsboot.com,4096,1701675694.0
D:\boot\memtest.exe,memtest.exe,1052512,1701675694.0
D:\boot\es-es\bootsect.exe.mui,bootsect.exe.mui,19456,1701675694.0
D:\boot\fonts\chs_boot.ttf,chs_boot.ttf,3696672,1701675696.0
D:\boot\fonts\cht_boot.ttf,cht_boot.ttf,3879376,1701675696.0
D:\boot\fonts\jpn_boot.ttf,jpn_boot.ttf,1986824,1701675696.0
D:\boot\fonts\kor_boot.ttf,kor_boot.ttf,2373956,1701675696.0
D:\boot\fonts\malgunn_boot.ttf,malgunn_boot.ttf,193904,1701675694.0
D:\boot\fonts\malgun_boot.ttf,malgun_boot.ttf,196320,1701675696.0
D:\boot\fonts\malgun_console.ttf,malgun_console.ttf,83396,1701675694.0
D:\boot\fonts\meiryon_boot.ttf,meiryon_boot.ttf,164200,1701675694.0
D:\boot\fonts\meiryo_boot.ttf,meiryo_boot.ttf,165848,1701675694.0
D:\boot\fonts\meiryo_console.ttf,meiryo_console.ttf,92584,1701675694.0
D:\boot\fonts\msjhn_boot.ttf,msjhn_boot.ttf,181412,1701675694.0
D:\boot\fonts\msjh_boot.ttf,msjh_boot.ttf,183400,1701675694.0
D:\boot\fonts\msjh_console.ttf,msjh_console.ttf,204796,1701675694.0
D:\boot\fonts\msyhn_boot.ttf,msyhn_boot.ttf,173492,1701675694.0
D:\boot\fonts\msyh_boot.ttf,msyh_boot.ttf,175292,1701675694.0
D:\boot\fonts\msyh_console.ttf,msyh_console.ttf,98492,1701675694.0
